id,price,area,bed,bath,ac,garage,pool,year,quality,style,lot,highway
42,183500,1540,3,2,yes,2,no,1992,low,3,15801,no
43,135000,1388,2,1,no,2,no,1951,low,1,26106,no
44,175000,1624,3,2,yes,2,no,1948,low,1,39219,no
45,149500,1580,2,1,yes,2,no,1966,low,1,11166,no
46,177500,1820,3,2,yes,2,no,1960,low,1,22104,no
47,155000,1733,4,1,yes,1,no,1936,low,4,22398,no
48,145000,1896,3,2,no,2,no,1925,low,6,32753,no
49,178000,2038,2,2,no,2,no,1918,low,7,47884,no
50,156000,1436,3,2,no,3,no,1920,low,1,43594,no
51,159000,1690,3,2,no,1,no,1922,low,5,28518,no
52,160000,1496,2,2,no,1,no,1900,low,5,43335,no
53,112000,1668,2,1,no,1,no,1948,low,1,19612,no
54,84000,980,1,1,no,1,no,1951,low,1,17686,no
55,155000,2562,3,2,no,2,no,1885,low,7,40800,no
56,360000,2304,5,4,yes,3,no,1978,medium,1,70240,no
57,104000,1268,2,1,no,1,no,1947,low,1,21067,no
58,420000,2283,3,3,yes,3,no,1997,high,1,18524,yes
59,355000,2060,2,3,yes,2,no,1997,medium,1,38623,yes
60,165000,2087,2,2,yes,2,no,1966,medium,1,24764,yes
61,244000,2081,4,2,yes,2,no,1980,medium,3,24993,yes
62,179900,1696,3,3,yes,2,no,1978,medium,2,22294,yes
63,253000,2222,4,2,no,2,no,1955,medium,1,71527,yes
64,200000,2110,5,3,yes,2,no,1957,medium,1,15332,yes
65,200000,1774,4,2,no,2,no,1963,low,1,15528,yes
66,147700,1592,3,2,yes,2,no,1957,low,1,11221,yes
67,188700,1748,3,2,yes,2,no,1972,low,1,23939,yes
68,177000,1985,3,1,no,2,no,1948,low,1,69975,yes
69,585000,2558,2,4,yes,3,yes,1984,high,3,24601,no
70,549900,4000,6,5,yes,3,yes,1979,high,10,23595,no
71,675000,3942,4,3,yes,2,no,1990,high,7,18920,no
72,830000,3889,4,4,yes,3,no,1991,high,7,28378,no
73,920000,3857,4,5,yes,3,no,1997,high,1,32793,no
74,855000,4756,4,4,yes,3,no,1990,high,7,22215,no
75,585500,3302,4,3,yes,3,no,1982,high,7,26463,no
76,399000,2629,3,3,yes,2,no,1989,high,9,24778,no
77,790000,4418,5,5,yes,3,no,1997,high,7,22024,no
78,665000,4746,4,4,yes,3,no,1996,high,7,23368,no
79,725000,3242,3,3,yes,3,no,1989,high,1,27173,no
80,647000,2464,3,3,yes,3,no,1992,high,1,31703,no
81,780000,4419,4,5,yes,7,no,1987,high,1,56127,no
82,657500,3877,3,3,yes,3,no,1992,high,7,24639,no
83,578000,3808,5,4,yes,3,no,1982,high,7,23324,no
84,500000,3376,5,4,yes,2,no,1947,high,7,18452,no
85,484530,2940,3,3,yes,3,yes,1979,high,7,20639,no
86,609000,2654,5,3,yes,3,no,1997,high,1,12821,no
87,635000,2672,4,3,yes,3,no,1995,high,1,28049,no
88,519000,3386,4,4,yes,3,no,1994,high,7,24008,no
89,625100,3648,4,4,yes,3,no,1992,high,7,26604,no
90,585444,3455,4,5,yes,3,no,1995,high,7,22468,no
91,399900,3321,3,4,yes,3,yes,1971,high,7,15012,no
92,389900,2817,4,3,yes,3,no,1996,high,7,31214,no
93,649000,3210,3,5,yes,3,no,1995,high,1,30033,no
94,535000,3588,4,5,yes,3,no,1987,high,7,22530,no
95,640000,2705,3,3,yes,3,no,1994,high,1,22196,no
96,600000,2344,4,3,yes,2,no,1925,high,1,86004,no
97,582500,4264,5,4,yes,4,no,1995,high,7,24983,no
98,545000,2615,3,3,yes,3,no,1996,high,1,21722,no
99,480000,3608,6,4,yes,3,no,1981,high,7,25219,no
100,595000,2479,4,4,yes,3,no,1989,high,1,29805,no
101,610000,3251,3,4,yes,3,yes,1985,high,1,25570,no
102,570000,2547,2,3,yes,3,no,1996,high,1,21789,no
103,479000,5032,7,3,yes,3,no,1989,high,7,22000,no
104,545000,4973,6,6,yes,3,yes,1987,high,7,56139,no
105,335000,2582,4,3,yes,2,no,1966,high,2,23256,no
106,629000,3139,6,4,yes,2,yes,1977,high,1,21810,no
107,505500,3516,4,4,yes,3,no,1979,high,7,19867,no
108,528750,2129,0,0,yes,3,no,1992,high,1,37414,no
109,370000,2936,4,4,yes,3,no,1987,high,7,16437,no
110,529000,3351,5,4,yes,3,no,1994,high,7,24216,no
111,490000,3136,4,4,yes,3,no,1989,high,7,27158,no
112,535000,3525,4,5,yes,3,no,1996,high,7,27501,no
113,612000,3917,6,5,yes,3,no,1995,high,7,37972,no
114,442500,2702,4,3,yes,3,no,1991,high,1,39643,no
115,500000,3644,3,4,yes,3,no,1984,high,7,21895,no
116,539000,3072,4,4,yes,3,no,1992,high,1,25158,no
117,545500,3233,4,4,yes,3,no,1991,high,7,22961,no
118,424000,2918,4,4,yes,3,no,1988,high,7,22003,no
119,325000,3266,4,3,yes,3,no,1985,high,7,16640,no
120,367000,2940,4,7,yes,2,no,1988,high,7,22003,no
121,470000,3430,3,4,yes,2,yes,1966,high,7,25018,no
122,393000,2472,4,4,yes,3,no,1987,high,1,21784,no
123,530000,2878,4,4,yes,3,no,1992,high,1,68351,no
124,400000,2537,3,3,yes,2,no,1993,high,1,11053,no
125,403500,3858,4,4,yes,3,no,1987,high,7,22224,no
126,550000,2742,3,3,yes,3,no,1991,high,1,22306,no
127,380000,3460,5,4,yes,2,no,1972,high,1,18571,no
128,500000,3836,5,4,yes,3,no,1982,high,5,48465,no
129,465000,4453,7,5,yes,2,no,1974,high,7,15595,no
130,451500,4080,5,4,yes,3,no,1983,high,7,22134,no
131,336000,3301,3,4,yes,2,no,1977,high,3,18741,no
132,550000,3828,4,5,yes,2,yes,1975,high,1,17051,no
133,450000,2973,4,3,yes,2,no,1980,medium,7,21999,no
134,440000,2821,5,4,yes,2,yes,1962,medium,1,32914,no
135,515000,2950,5,3,yes,2,no,1969,medium,1,21598,no
136,415000,2362,3,3,yes,2,no,1977,medium,3,21604,no
137,380000,3092,3,4,yes,2,no,1978,medium,3,20081,no
138,489500,2866,4,4,no,2,no,1982,medium,7,22424,no
139,478000,3369,5,4,yes,3,no,1981,medium,7,21161,no
140,460000,3068,4,4,yes,3,no,1988,medium,7,18289,no
141,379900,2380,3,3,yes,3,no,1998,medium,1,21999,no
142,390000,2225,2,3,yes,3,no,1997,medium,1,38722,no
143,338000,2655,3,3,yes,2,no,1948,medium,1,21960,no
144,675000,3855,4,4,yes,3,no,1996,medium,7,35845,no
145,440000,2892,4,4,yes,2,no,1977,medium,6,35839,no
146,500000,3832,4,3,yes,2,no,1952,medium,1,28722,no
147,470000,3164,6,4,yes,2,no,1982,medium,7,20505,no
148,317500,2620,3,2,yes,3,no,1925,medium,7,12266,no
149,430000,3076,6,4,yes,3,no,1984,medium,7,26648,no
150,430000,4022,6,4,yes,3,no,1986,medium,7,18429,no
151,475000,3377,4,3,yes,3,no,1997,medium,7,22495,no
152,389000,2858,5,4,yes,1,no,1989,medium,7,23981,no
153,400000,3540,4,4,yes,3,yes,1980,medium,7,18012,no
154,395000,3045,4,3,yes,1,no,1991,medium,7,34356,no
155,395000,4150,4,3,no,3,no,1934,medium,7,21778,no
156,296000,1778,2,2,yes,2,no,1991,medium,7,24022,no
157,387500,2412,2,3,yes,3,no,1986,medium,3,22676,no
158,353000,2668,4,3,yes,2,no,1978,medium,2,18384,no
159,350000,2274,4,3,yes,3,no,1986,medium,1,22049,no
160,437632,2936,4,3,yes,3,no,1980,medium,5,22844,no
161,447500,2526,2,2,yes,0,no,1996,medium,1,28248,no
162,318500,2449,4,4,yes,2,no,1985,medium,3,22075,no
163,352000,3131,4,4,yes,2,no,1988,medium,7,15209,no
164,295000,2536,3,3,yes,3,no,1987,medium,7,39427,no
165,313500,3314,2,3,yes,3,no,1984,medium,7,24339,no
166,330000,2230,3,2,yes,2,no,1986,medium,1,24798,no
167,400000,2631,4,4,no,2,no,1985,medium,7,44885,no
168,325000,2638,4,3,yes,2,no,1978,medium,3,25747,no
169,340000,2756,4,3,yes,2,yes,1973,medium,7,22546,no
170,399900,3262,5,4,yes,2,no,1978,medium,7,25541,no
171,249900,1936,4,4,yes,3,no,1987,medium,3,12850,no
172,389000,3148,4,4,yes,3,yes,1969,medium,7,16587,no
173,364500,2616,3,4,yes,2,no,1977,medium,7,32655,no
174,357500,3630,4,3,yes,2,no,1969,medium,7,23283,no
175,295000,1954,3,3,yes,3,yes,1962,medium,3,19300,no
176,274500,1926,5,3,yes,2,no,1986,medium,7,26418,no
177,259000,2556,3,2,yes,2,no,1957,medium,1,80886,no
178,415000,2282,5,4,yes,2,no,1987,medium,3,23003,no
179,443000,3314,3,4,yes,3,no,1986,medium,7,22012,no
180,249000,2001,3,3,yes,2,no,1981,medium,3,23812,no
181,330000,2607,5,2,yes,2,no,1976,medium,3,23139,no
182,291000,2840,4,4,yes,2,no,1965,medium,7,23079,no
183,418000,3036,3,5,no,2,no,1977,medium,7,33746,no
184,320000,2240,4,2,yes,3,no,1974,medium,3,18682,no
185,264000,1788,3,3,no,2,no,1969,medium,1,18484,no
186,381000,2620,5,4,yes,2,no,1965,medium,7,28093,no
187,250000,1480,3,3,yes,2,no,1984,medium,3,14230,no
188,360000,2588,3,3,yes,2,yes,1968,medium,2,19004,no
189,369500,3138,4,4,yes,2,no,1969,medium,7,18190,no
190,285400,2460,5,4,yes,2,no,1979,medium,7,27492,no
191,409000,3566,4,4,yes,2,no,1976,medium,7,18044,no
192,333000,2692,5,4,yes,3,no,1984,medium,7,22020,no
193,362000,2958,5,4,yes,3,no,1987,medium,7,45200,no
194,387500,3164,4,4,yes,2,yes,1966,medium,7,23856,no
195,239000,2058,3,3,yes,2,no,1969,medium,2,21046,no
196,299900,2717,3,4,yes,2,no,1983,medium,7,22083,no
197,335000,2920,4,3,yes,3,no,1987,medium,7,22434,no
198,275000,2554,5,3,yes,2,no,1960,medium,7,21820,no
199,328000,2805,3,4,yes,2,no,1988,medium,7,22582,no
200,333000,2736,4,3,yes,2,yes,1979,medium,7,29591,no
201,397000,3516,5,7,yes,3,no,1996,medium,7,34795,no
202,374800,3536,6,4,yes,2,yes,1978,medium,7,19997,no
203,520000,2138,5,3,yes,3,no,1956,medium,1,86830,no
204,325000,2718,4,4,yes,3,no,1978,medium,6,22842,no
205,295000,2178,5,3,yes,2,no,1958,medium,1,25891,no
206,415000,3152,5,4,yes,2,no,1980,medium,6,24446,no
207,224900,2611,3,3,yes,2,no,1987,medium,7,6924,no
208,265000,2060,4,3,yes,2,no,1981,medium,2,13091,no
209,299900,2448,4,4,yes,3,no,1979,medium,7,26790,no
210,390000,4050,6,5,yes,2,yes,1966,medium,7,18262,no
211,271000,2414,3,3,yes,2,no,1914,medium,7,24357,no
212,330000,3072,4,3,yes,2,no,1966,medium,7,16431,no
213,350000,2525,3,3,yes,3,no,1983,medium,4,27138,no
214,310000,2866,5,3,yes,3,no,1961,medium,7,25249,no
215,340000,3246,4,4,yes,3,no,1987,medium,7,52218,no
216,307000,2707,4,4,yes,2,no,1992,medium,7,22094,no
217,304000,2300,5,3,yes,2,no,1961,medium,3,35824,no
218,275900,1860,3,3,yes,2,no,1957,medium,1,40741,no
219,315000,3636,5,3,yes,2,no,1976,medium,7,19776,no
220,295000,1910,4,3,yes,2,no,1968,medium,1,30996,no
221,251010,2280,4,2,yes,2,no,1956,medium,1,25543,no
222,335000,3386,4,5,no,2,no,1965,medium,7,38428,no
223,343500,2324,5,4,yes,3,no,1967,medium,3,22435,no
224,297000,1970,4,3,yes,2,no,1972,medium,3,25814,no
225,281000,2062,3,3,yes,2,yes,1977,medium,2,23608,no
226,235000,2617,4,3,yes,2,no,1985,medium,7,8903,no
227,237000,2612,4,3,yes,2,no,1985,medium,7,10144,no
228,274900,2472,3,3,yes,2,no,1969,medium,7,22451,no
229,229900,1922,4,2,yes,2,no,1957,medium,1,15791,no
230,259000,1852,3,2,yes,2,no,1984,medium,3,22204,no
231,245000,2239,3,3,yes,2,no,1986,medium,3,22216,no
232,208000,2068,3,2,yes,2,no,1979,medium,1,34773,no
233,421000,2101,3,3,no,2,no,1956,medium,1,65499,no
234,320000,2200,4,3,yes,2,no,1968,medium,1,31450,no
235,256000,1972,3,3,no,2,no,1989,medium,3,32027,no
236,275000,2007,3,3,yes,2,yes,1959,medium,3,21311,no
237,222000,2612,4,3,yes,2,no,1985,medium,7,8229,no
238,249900,2124,4,1,yes,3,no,1974,medium,2,21834,no
239,273500,2612,4,3,yes,2,no,1985,medium,7,8924,no
240,218500,2548,2,2,yes,2,no,1984,medium,3,10210,no
241,377000,2767,3,3,yes,3,no,1941,medium,4,75232,no
242,220000,2025,3,3,yes,2,no,1989,medium,3,19618,no
243,192900,1956,4,2,yes,2,no,1962,medium,2,21779,no
244,298750,2460,4,3,yes,2,no,1967,medium,3,23907,no
245,315000,2764,3,3,yes,3,no,1972,medium,7,23947,no
246,315000,2004,4,3,yes,2,no,1967,medium,3,24453,no
247,465900,2852,4,3,yes,2,yes,1961,medium,7,34040,no
248,239500,2096,3,3,yes,2,no,1977,medium,1,15237,no
249,276000,2330,3,3,yes,2,no,1989,medium,7,17433,no
250,226000,2520,4,3,yes,2,no,1978,medium,7,12145,no
251,235000,2528,3,3,yes,2,no,1977,medium,3,26469,no
252,247000,2030,4,3,yes,3,no,1988,medium,3,23202,no
253,182000,2208,2,2,yes,2,no,1985,medium,7,6734,no
254,180000,1500,2,1,yes,0,no,1938,medium,3,39776,no
255,249000,2078,5,3,yes,2,no,1965,medium,1,21512,no
256,260000,2442,4,3,yes,2,no,1969,medium,2,21149,no
257,219900,2612,3,3,yes,2,no,1986,medium,7,11288,no
258,295000,2268,4,3,yes,3,no,1972,medium,2,23976,no
259,290000,2734,4,3,yes,2,no,1971,medium,7,23488,no
260,300000,2228,4,3,yes,2,no,1982,medium,3,21232,no
261,354900,3000,5,4,yes,3,no,1973,medium,7,21643,no
262,261000,2404,5,3,yes,3,yes,1973,medium,2,17791,no
263,174500,1840,3,2,yes,2,no,1960,medium,1,16356,no
264,244900,2107,3,2,no,2,no,1947,medium,6,30050,no
265,274900,2788,4,3,yes,2,no,1984,medium,7,18960,no
266,214000,2416,3,3,yes,2,no,1984,medium,3,15594,no
267,283000,2430,3,4,yes,3,no,1984,medium,6,18164,no
268,177900,1584,3,2,yes,2,no,1989,medium,2,13947,no
269,237500,1873,3,3,yes,2,no,1978,medium,3,21998,no
270,202150,1644,4,3,yes,2,no,1976,medium,2,19499,no
271,235000,2400,4,3,yes,2,no,1976,medium,7,44347,no
272,217000,2094,4,3,yes,2,no,1984,medium,3,18617,no
273,285000,2561,3,3,yes,3,no,1981,medium,7,18985,no
274,217500,1752,3,2,yes,2,no,1976,medium,2,24053,no
275,210000,1738,5,3,yes,2,no,1983,medium,3,15206,no
276,183340,2068,3,2,yes,3,no,1977,medium,1,24325,no
277,252000,2428,4,3,yes,2,no,1966,medium,7,22727,no
278,237000,2090,4,2,yes,2,no,1969,medium,1,22055,no
279,205000,1820,3,2,yes,2,no,1944,medium,2,28023,no
280,285000,3219,4,4,yes,2,no,1944,medium,6,28200,no
281,210000,2654,3,5,yes,2,no,1962,medium,1,28882,no
282,280000,1802,4,3,yes,2,no,1956,medium,1,27700,no
283,207000,1765,3,2,yes,2,no,1976,medium,2,22983,no
284,221000,2786,4,3,yes,2,no,1976,medium,7,22875,no
285,257000,1794,3,2,yes,2,no,1960,medium,3,21691,no
286,274000,2768,3,3,no,2,no,1921,medium,7,26268,no
287,262000,2288,3,2,yes,2,no,1963,medium,3,16975,no
288,204400,2028,3,2,yes,2,no,1951,medium,1,26777,no
289,254900,2620,5,3,yes,2,no,1966,medium,7,27989,no
290,244000,1644,3,3,yes,2,no,1980,medium,2,32164,no
291,213000,1888,3,2,yes,3,no,1958,medium,1,14757,no
292,240000,2116,4,3,yes,2,no,1964,medium,7,22041,no
293,235000,2313,4,3,yes,2,no,1972,medium,7,24705,no
294,206000,1824,4,2,yes,2,no,1959,medium,1,14748,no
295,237000,1942,4,3,yes,2,no,1972,medium,2,23105,no
296,274000,2184,4,3,yes,2,no,1977,medium,3,19090,no
297,275000,2578,3,3,yes,2,no,1965,medium,7,22299,no
298,218400,2036,4,3,yes,2,no,1960,medium,7,21996,no
299,156000,1384,2,1,no,2,no,1961,medium,1,26706,no
300,220000,1826,4,3,yes,2,no,1952,medium,1,19870,no
301,171500,1681,3,2,yes,1,no,1957,medium,1,15985,no
302,180000,1726,3,2,yes,2,no,1962,medium,1,26769,no
303,204000,1910,3,2,yes,2,no,1958,medium,3,15423,no
304,307000,2664,4,3,yes,2,no,1962,medium,7,22684,no
305,265000,2116,3,3,yes,2,no,1976,medium,2,33344,no
306,209900,2030,3,3,yes,2,no,1959,medium,1,21914,no
307,173000,1940,3,2,no,2,no,1956,medium,3,11610,no
308,189000,1676,3,3,no,2,no,1965,medium,3,21780,no
309,222500,2120,3,2,yes,2,yes,1959,medium,1,17883,no
310,265000,2152,4,3,yes,2,no,1987,medium,1,26075,no
311,264670,1984,4,3,yes,2,no,1966,medium,1,31204,no
312,200750,1575,3,3,yes,2,no,1957,medium,1,25543,no
313,227900,1798,3,3,yes,2,no,1978,medium,2,17820,no
314,255000,2017,3,1,no,1,no,1958,medium,3,86571,no
315,208500,1904,3,3,yes,2,no,1978,medium,2,15559,no
316,226900,1718,3,3,yes,2,no,1976,medium,2,49613,no
317,215000,1776,4,2,no,1,no,1980,medium,2,22839,no
318,222950,2609,4,3,yes,2,no,1961,medium,1,26087,no
319,239900,2226,3,3,yes,2,no,1955,medium,2,13520,no
320,176000,1556,2,1,yes,3,no,1959,medium,3,15623,no
321,228000,1764,2,2,yes,2,no,1985,medium,3,8105,no
322,204900,1626,3,3,yes,2,yes,1968,medium,2,15288,no
323,258000,2012,5,3,yes,2,no,1967,medium,2,21303,no
324,241850,2090,4,4,yes,2,no,1963,medium,7,22010,no
325,198500,2192,4,2,yes,2,no,1963,medium,2,22851,no
326,243000,2228,4,4,yes,2,no,1965,medium,7,21881,no
327,187000,1825,4,2,yes,2,no,1963,medium,2,15810,no
328,233000,2132,4,3,yes,2,no,1966,medium,2,17159,no
329,205000,2160,3,2,yes,2,no,1983,medium,7,16555,no
330,205000,1974,3,2,yes,2,no,1954,medium,1,26196,no
331,189000,1696,3,3,yes,2,no,1968,medium,1,31851,no
332,204900,2132,3,3,yes,2,no,1969,medium,7,23986,no
333,239000,1814,4,3,yes,2,yes,1979,medium,2,24698,no
334,193000,1796,3,2,yes,2,no,1963,medium,2,29281,no
335,260000,2268,5,3,yes,2,no,1971,medium,3,35240,no
336,188000,1719,2,3,yes,2,no,1960,medium,1,22009,no
337,190500,1704,3,2,yes,2,no,1984,medium,3,22583,no
338,230000,2142,3,2,yes,2,no,1959,medium,1,22223,no
339,240000,1705,4,2,yes,2,no,1972,medium,1,42322,no
340,235000,1752,4,3,yes,2,no,1978,medium,2,39267,no
341,275000,2554,5,3,yes,2,yes,1966,medium,7,22381,no
342,205000,1650,3,2,yes,2,no,1965,medium,3,27235,no
343,280000,2816,5,3,yes,2,no,1946,medium,5,29109,no
344,190000,1919,3,4,yes,2,no,1938,medium,7,20093,no
345,232500,2080,3,2,yes,2,no,1968,medium,1,32021,no
346,259500,2108,4,4,yes,2,no,1978,medium,7,24685,no
347,275000,2480,3,3,yes,2,no,1964,medium,1,22144,no
348,183900,1746,3,2,yes,2,no,1974,medium,2,52136,no
349,290000,2703,3,3,no,4,no,1963,medium,1,43599,no
350,217950,1640,4,2,yes,2,no,1979,medium,3,21314,no
351,220000,2196,4,3,yes,2,no,1972,medium,7,17899,no
352,185000,1701,3,2,yes,1,no,1982,medium,2,21938,no
353,288000,2250,3,2,yes,2,no,1949,medium,4,23684,no
354,197500,2502,4,2,yes,2,no,1964,medium,6,23749,no
355,179975,1762,4,3,yes,2,no,1959,medium,1,15742,no
356,195000,2016,4,3,yes,2,no,1963,medium,2,18102,no
357,228400,1904,3,3,yes,2,yes,1976,medium,2,14945,no
358,194750,1652,5,2,yes,2,no,1960,medium,1,24644,no
359,195000,2042,4,3,no,2,no,1963,medium,2,21849,no
360,210000,2019,4,3,yes,3,no,1960,medium,2,14837,no
361,239550,2791,5,3,yes,3,no,1946,medium,4,22863,no
362,242000,2514,4,3,yes,1,no,1953,medium,5,17535,no
363,185000,1746,3,2,yes,2,no,1984,medium,3,12386,no
364,175000,1930,3,2,yes,2,no,1956,medium,2,15923,no
365,165000,1552,3,1,yes,3,no,1959,medium,3,27068,no
366,185000,1566,4,2,yes,2,no,1993,medium,2,13504,no
367,173194,1669,3,2,yes,2,no,1964,medium,2,24643,no
368,205150,1814,3,3,yes,2,no,1978,medium,2,18714,no
369,214200,1794,3,3,yes,3,no,1976,medium,2,24308,no
370,182500,1691,3,2,yes,2,yes,1968,medium,2,21961,no
371,205000,1834,4,3,yes,2,no,1959,medium,1,30726,no
372,208000,1984,5,3,yes,2,no,1961,medium,1,22047,no
373,225000,1966,4,3,yes,2,no,1962,medium,1,24871,no
374,170000,1669,3,2,yes,2,no,1967,medium,2,21253,no
375,216000,2132,4,3,yes,2,no,1976,medium,1,41332,no
376,180000,2007,4,3,yes,2,no,1959,medium,3,15992,no
377,169200,1964,4,2,yes,2,no,1964,medium,7,18162,no
378,213000,2325,4,3,yes,3,no,1973,medium,3,16699,no
379,210000,2196,4,3,yes,2,no,1965,medium,7,29329,no
380,185000,2061,3,2,yes,2,no,1956,medium,2,25379,no
381,179900,1828,3,2,yes,2,no,1956,medium,3,37150,no
382,196000,1956,4,3,yes,2,no,1968,medium,1,20486,no
383,219900,1852,6,3,yes,2,no,1968,medium,2,20800,no
384,159900,1795,1,2,yes,2,no,1980,medium,11,26467,no
385,170000,1580,2,1,no,1,no,1950,low,5,10799,no
386,169900,1708,3,1,no,1,no,1950,low,1,11413,no
387,189500,1700,4,2,no,2,no,1953,low,1,14023,no
388,195000,1742,1,1,yes,2,no,1961,low,1,18250,no
389,215000,1890,4,2,yes,2,no,1961,low,1,22110,no
390,171000,1512,2,1,no,1,no,1956,low,1,14774,no
391,179900,1840,3,1,no,2,no,1953,low,1,40832,no
392,120000,1060,2,1,no,2,no,1947,low,1,15001,no
393,175000,1540,3,2,no,2,no,1957,low,1,45458,no
394,232900,1550,4,2,yes,2,yes,1962,low,2,14998,no
395,229900,2787,4,2,yes,1,no,1922,low,5,39558,no
396,174900,1528,2,2,yes,2,no,1982,low,1,25193,no
397,168900,1928,2,2,no,2,no,1941,low,5,26393,no
398,229500,2329,3,2,yes,2,no,1960,low,7,28179,no
399,236000,1940,4,3,yes,2,no,1959,low,1,15073,no
400,205500,2114,5,2,yes,2,no,1966,low,7,14526,no
401,212000,1799,3,2,yes,2,no,1962,low,2,16210,no
402,205000,1864,3,2,yes,2,no,1940,low,1,25628,no
403,193000,1581,3,2,yes,2,no,1956,low,1,15064,no
404,180000,1652,3,2,yes,2,no,1959,low,3,21875,no
405,184000,1592,4,2,no,2,no,1977,low,1,25943,no
406,144900,1520,3,1,no,1,no,1953,low,4,36359,no
407,255000,1792,2,2,yes,2,no,1955,low,1,31257,no
408,137000,1464,2,1,no,1,no,1957,low,1,14999,no
409,178000,1702,3,2,no,2,no,1961,low,1,21898,no
410,296000,2180,3,2,yes,2,no,1952,low,1,29617,no
411,186500,1486,2,2,yes,2,no,1958,low,1,18479,no
412,170000,1364,2,1,no,2,no,1942,low,1,26369,no
413,219000,1540,4,2,yes,2,no,1977,low,2,30691,no
414,188000,1608,4,2,yes,2,no,1969,low,2,19380,no
415,195250,1668,3,1,yes,2,no,1956,low,3,17060,no
416,175000,1944,3,2,yes,2,no,1951,low,1,43562,no
417,215000,1883,4,2,yes,2,yes,1956,low,1,19932,no
418,197500,2215,4,1,no,2,no,1948,low,6,25540,no
419,249900,1916,2,2,yes,2,no,1954,low,1,20576,no
420,180000,1508,2,2,yes,2,no,1959,low,1,32469,no
421,174900,1809,3,1,yes,2,no,1958,low,2,16782,no
422,189900,1958,4,3,no,2,no,1935,low,5,22788,no
423,154000,1592,2,1,yes,2,no,1951,low,1,10332,no
424,150000,1636,2,1,yes,2,no,1950,low,1,10000,no
425,189900,1800,3,2,no,2,no,1964,low,2,13566,no
426,157000,1600,3,1,no,2,no,1950,low,5,10807,no
427,182000,1550,3,1,yes,2,no,1966,low,1,15100,no
428,187650,1578,3,1,yes,2,no,1958,low,1,14631,no
429,175000,1644,3,1,yes,2,no,1956,low,1,12999,no
430,189900,1556,3,2,yes,1,no,1959,low,3,19840,no
431,175000,1672,3,1,yes,2,no,1949,low,1,22617,no
432,159900,1650,2,2,yes,1,no,1957,low,1,14997,no
433,184900,1676,3,2,no,2,no,1956,low,1,16156,no
434,174900,1960,2,2,no,2,no,1947,low,1,16953,no
435,143000,1649,3,1,yes,1,no,1951,low,5,20096,no
436,164900,1728,3,1,yes,1,no,1950,low,4,10999,no
437,173500,1586,3,2,yes,1,no,1958,low,1,15862,no
438,161800,1592,2,1,no,1,no,1951,low,1,18686,no
439,148000,1514,2,2,yes,1,no,1964,low,1,16209,no
440,177000,1952,4,2,yes,2,no,1963,low,1,24377,no
